username,visited,nomadlist_recommends
@andresp1neda,"['San Diego, CA,  United States', 'Mexico City,  Mexico', 'Bangkok,  Thailand', 'Singapore,  Singapore']","['Chiang  Mai, Thailand', 'Medellín, Colombia', 'Lisbon, Portugal', 'Kuala  Lumpur, Malaysia', 'Barcelona, Spain', 'Canggu, Indonesia', 'Tokyo, Japan']"
@annalena,"['Montreal,  Canada', 'New York City, NY,  United States', 'Tokyo,  Japan', 'Ho Chi Minh City,  Vietnam', 'Krabi,  Thailand', 'Cologne,  Germany']","['Bangkok, Thailand', 'Chiang  Mai, Thailand', 'Lisbon, Portugal', 'Barcelona, Spain', 'Mexico  City, Mexico', 'Hong  Kong, Hungary', 'Budapest, Germany']"
@kaicpap,"['Kraków,  Poland']","['Bangkok, Thailand', 'Lisbon, Portugal', 'Barcelona, Spain', 'Warsaw, Poland', 'Budapest, Hungary', 'Berlin, Germany', 'Prague, Czechia', 'Amsterdam, Netherlands']"
@danielbraun,"['Paphos,  Cyprus', 'Innsbruck,  Austria', 'Karlsruhe,  Germany', 'Paphos,  Cyprus', 'San Sebastian,  Spain', 'Porto,  Portugal', 'Gran Canaria, Canary Islands,  Spain', 'Tenerife, Canary Islands,  Spain', 'Sagres,  Portugal', 'Dallas, TX,  United States', 'Panama, ', 'Puerto Viejo,  Costa Rica', 'Queretaro,  Mexico']","['Bangkok, Thailand', 'Chiang  Mai, Thailand', 'Lisbon, Portugal', 'Barcelona, Spain', 'Athens, Greece', 'Budapest, Hungary', 'Berlin, Germany', 'Prague, Czechia']"
@kurumbus,"['Muscat,  Oman', 'Abu Dhabi,  United Arab Emirates', 'Dubai,  United Arab Emirates', 'Manila,  Philippines', 'Boracay,  Philippines', 'El Nido,  Philippines', 'Puerto Princesa,  Philippines', 'Manila,  Philippines', 'Kuta, Bali,  Indonesia', 'Ubud, Bali,  Indonesia', 'Kuta, Bali,  Indonesia', 'Canggu, Bali,  Indonesia', 'Kuta, Bali,  Indonesia', 'Singapore,  Singapore', 'Kuala Lumpur,  Malaysia', 'Lumut,  Malaysia']","['Chiang  Mai, Thailand', 'Lisbon, Portugal', 'Barcelona, Spain', 'Tokyo, Japan', 'Budapest, Hungary', 'Prague, Czechia', 'Munich, Germany', 'Madrid, Spain']"
@jester744,"['Toronto,  Canada']","['Bangkok, Thailand', 'Lisbon, Portugal', 'Barcelona, Spain', 'Tokyo, Japan', 'Berlin, Germany', 'Amsterdam, Netherlands', 'Vancouver, Canada']"
@janniss,"['Helsinki,  Finland']","['Bangkok, Thailand', 'Lisbon, Portugal', 'Barcelona, Spain', 'Budapest, Hungary', 'Berlin, Germany', 'Prague, Czechia', 'Amsterdam, Netherlands']"
@meital26,"['Lisbon,  Portugal']","['Bangkok, Thailand', 'Barcelona, Spain', 'Budapest, Hungary', 'Berlin, Germany', 'Prague, Czechia', 'Amsterdam, Netherlands', 'Madrid, Spain', 'Porto, Portugal']"
@benchik,"['Bangkok,  Thailand', 'Haifa,  Israel', 'Budapest,  Hungary', 'Haifa,  Israel']","['Chiang  Mai, Thailand', 'Lisbon, Portugal', 'Kuala  Lumpur, Malaysia', 'Barcelona, Spain', 'Canggu, Indonesia', 'Tokyo, Japan', 'Hong  Kong, Germany']"
@bitterbuffalo,"['Bangkok,  Thailand', 'Sharm El Sheikh,  Egypt', 'Luxor,  Egypt', 'Cairo,  Egypt', 'Dubai,  United Arab Emirates', 'Manama,  Bahrain', 'Dubai,  United Arab Emirates', 'Muscat,  Oman', 'Istanbul,  Turkey', 'Alaverdi,  Armenia', 'Tbilisi,  Georgia', 'Salt Lake City, UT,  United States', 'Melbourne,  Australia', 'Sydney,  Australia', 'Reykjavik,  Iceland', 'Chania, Crete,  Greece']","['Chiang  Mai, Thailand', 'Lisbon, Portugal', 'Kuala  Lumpur, Malaysia', 'Mexico  City, Mexico', 'Canggu, Indonesia', 'Tokyo, Japan', 'Hong  Kong, Germany']"
@sashasha,"['Da Nang,  Vietnam', 'Denpasar, Bali,  Indonesia', 'Singapore,  Singapore', 'Bangkok,  Thailand', 'Chiang Mai,  Thailand', 'Bangkok,  Thailand', 'Kuala Lumpur,  Malaysia', 'Bangkok,  Thailand', 'Phuket,  Thailand', 'Phu Quoc,  Vietnam', 'Hanoi,  Vietnam', 'Bangkok,  Thailand', 'Doha,  Qatar', 'Baku,  Azerbaijan', 'Minsk,  Belarus', 'Moscow,  Russia']","['Lisbon, Portugal', 'Barcelona, Spain', 'Tokyo, Japan', 'Hong  Kong, Hungary', 'Budapest, Germany', 'Berlin, Czechia', 'Prague, Georgia']"
@diegogo,"['San Miguel de Allende,  Mexico', 'Florianopolis,  Brazil', 'Cozumel,  Mexico', 'Austin, TX,  United States', 'Portland, OR,  United States', 'San Miguel de Allende,  Mexico', 'Puerto Escondido,  Mexico', 'Mexico City,  Mexico', 'Puerto Vallarta,  Mexico', 'Medellín,  Colombia', 'Bogota,  Colombia', 'Tulum,  Mexico', 'Lisbon,  Portugal', 'Barcelona,  Spain']","['Bangkok, Thailand', 'Buenos  Aires, Argentina', 'Budapest, Hungary', 'Berlin, Germany', 'Prague, Czechia', 'Amsterdam, Netherlands', 'Madrid, Spain', 'Porto, Portugal']"
